initYr,Rstructure,mTrends,compMethod,variable,resType,RMSE,nIndices,peels
1990,diag & unequal,1,individual,sardRec,resid.Cont,1.425138859,45,10
1990,diag & unequal,1,individual,sardRec,resid.Naiv,1.430615499,45,10
1990,diag & unequal,1,individual,sardRec,resid.Inf,1.431623404,45,10
1990,diag & unequal,1,individual,sardRec,resid.Proj,1.43168458,45,10
1990,diag & unequal,1,individual,anchRec,resid.Cont,1.502158687,45,10
1990,diag & unequal,1,individual,anchRec,resid.Inf,1.504443629,45,10
1990,diag & unequal,1,individual,anchRec,resid.Proj,1.504462346,45,10
1990,diag & unequal,1,individual,anchRec,resid.Naiv,1.534168865,45,10
1990,diag & unequal,1,peel & variable combined,total,resid.Cont,1.466180037,45,10
1990,diag & unequal,1,peel & variable combined,total,resid.Inf,1.470399453,45,10
1990,diag & unequal,1,peel & variable combined,total,resid.Proj,1.470437746,45,10
1990,diag & unequal,1,peel & variable combined,total,resid.Naiv,1.486017061,45,10
1990,diag & unequal,1,peel then variable,totRMSE,resid.Cont,2.927297545,45,10
1990,diag & unequal,1,peel then variable,meanRMSE,resid.Cont,1.463648773,45,10
1990,diag & unequal,1,peel then variable,totRMSE,resid.Inf,2.936067033,45,10
1990,diag & unequal,1,peel then variable,meanRMSE,resid.Inf,1.468033516,45,10
1990,diag & unequal,1,peel then variable,totRMSE,resid.Naiv,2.964784364,45,10
1990,diag & unequal,1,peel then variable,meanRMSE,resid.Naiv,1.482392182,45,10
1990,diag & unequal,1,peel then variable,totRMSE,resid.Proj,2.936146926,45,10
1990,diag & unequal,1,peel then variable,meanRMSE,resid.Proj,1.468073463,45,10
1990,diag & unequal,2,individual,sardRec,resid.Naiv,1.374448514,45,10
1990,diag & unequal,2,individual,sardRec,resid.Cont,1.46457591,45,10
1990,diag & unequal,2,individual,sardRec,resid.Inf,1.469262026,45,10
1990,diag & unequal,2,individual,sardRec,resid.Proj,1.469285764,45,10
1990,diag & unequal,2,individual,anchRec,resid.Cont,1.517033138,45,10
